order,seasonal_order,p,d,q,P,D,Q,seasonal_period,aic,bic,converged,error,search_stage
"(1, 1, 0)","(1, 0, 1, 52)",1,1,0,1,0,1,52,4481.798889019562,4493.650267540602,False,,non_seasonal_search
"(6, 0, 1)","(1, 0, 1, 52)",6,0,1,1,0,1,52,4483.924414460233,4513.26915379154,False,,non_seasonal_search
"(2, 2, 2)","(1, 0, 1, 52)",2,2,2,1,0,1,52,4510.380844896237,4530.972341854503,False,,non_seasonal_search
"(1, 2, 2)","(1, 0, 1, 52)",1,2,2,1,0,1,52,4511.685861497299,4529.335716032955,False,,non_seasonal_search
"(6, 2, 4)","(1, 0, 1, 52)",6,2,4,1,0,1,52,4520.058269827989,4558.018021863754,False,,non_seasonal_search
"(5, 1, 5)","(1, 0, 1, 52)",5,1,5,1,0,1,52,4523.222970613016,4561.277268520059,False,,non_seasonal_search
"(6, 2, 1)","(1, 0, 1, 52)",6,2,1,1,0,1,52,4591.8930580282995,4621.092867286581,False,,non_seasonal_search
"(0, 2, 2)","(1, 0, 1, 52)",0,2,2,1,0,1,52,4592.841736159882,4607.549948272928,False,,non_seasonal_search
"(0, 1, 4)","(1, 0, 1, 52)",0,1,4,1,0,1,52,4598.939164033038,4619.480481564952,False,,non_seasonal_search
"(3, 0, 5)","(1, 0, 1, 52)",3,0,5,1,0,1,52,4600.354280566917,4632.633493831354,False,,non_seasonal_search
"(0, 2, 0)","(1, 0, 1, 52)",0,2,0,1,0,1,52,4612.002757291259,4620.870238464063,False,,non_seasonal_search
"(2, 2, 1)","(1, 0, 1, 52)",2,2,1,1,0,1,52,4615.229224469664,4632.921783811933,False,,non_seasonal_search
"(1, 1, 4)","(1, 0, 1, 52)",1,1,4,1,0,1,52,4620.453115724022,4643.928907189067,False,,non_seasonal_search
"(4, 2, 4)","(1, 0, 1, 52)",4,2,4,1,0,1,52,4621.130676084693,4653.330466621422,False,,non_seasonal_search
"(1, 0, 3)","(1, 0, 1, 52)",1,0,3,1,0,1,52,4632.110169223519,4652.751488456166,False,,non_seasonal_search
"(1, 1, 1)","(1, 0, 1, 52)",1,1,1,1,0,1,52,4636.093369410233,4650.87250469824,False,,non_seasonal_search
"(4, 2, 2)","(1, 0, 1, 52)",4,2,2,1,0,1,52,4671.754201926102,4698.164467324278,True,,non_seasonal_search
"(4, 0, 1)","(1, 0, 1, 52)",4,0,1,1,0,1,52,4678.527875484073,4702.117954607098,False,,non_seasonal_search
